Fecha,Tipo Entidad,Código Entidad,Código Tipo Persona,Código Sexo,Código Tipo Garantía,Código Tamaño Empresa,Código Tipo Crédito,Código Producto,Código Plazo,Monto Desembolsado,Tasa,Margen UVR,Número Desembolsos,Código Grupo Étnico,Tipo Tasa,Código Clase Deudor,Código Antiguedad,Código Rango Monto,Código CIIU,Código Municipio
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$200000,42.02,0,2,7,FS,2,10,201,5229,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$200000,42.02,0,2,7,FS,2,10,201,10,47288
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$220000,42.02,0,1,7,FS,1,10,201,4773,5088
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$225000,42.02,0,2,7,FS,1,10,201,112,85001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$230000,42.02,0,1,7,FS,1,10,201,10,5001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$250000,42.02,0,1,7,FS,1,10,201,7020,20001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$270000,42.02,0,1,7,FS,2,10,201,7490,8001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$300000,42.02,0,1,7,FS,1,10,201,5210,20045
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$300000,42.02,0,1,7,FS,1,10,201,4711,66682
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$300000,42.02,0,1,7,FS,2,10,201,4771,13657
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$300000,42.02,0,1,7,FS,2,10,201,7010,23001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$320000,42.02,0,1,7,FS,1,10,201,10,50001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$350000,42.02,0,1,7,FS,2,10,201,10,25307
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$390000,42.02,0,1,7,FS,2,10,201,1630,54001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$400000,35.6,0,1,7,FS,1,10,201,8622,76111
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$400000,42.02,0,1,7,FS,1,10,201,4711,15272
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$400000,42.02,0,1,7,FS,1,10,201,7500,76130
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$400000,42.02,0,1,7,FS,2,10,201,4799,85001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$440000,42.02,0,2,7,FS,1,10,201,4759,20400
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$450000,42.02,0,2,7,FS,2,10,201,10,15001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$470000,42.02,0,2,7,FS,2,10,201,4921,27001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$480000,42.02,0,1,7,FS,1,10,201,10,8758
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$480000,42.02,0,1,7,FS,1,10,201,4711,63001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$500000,28.48,0,1,7,FS,2,10,201,8299,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$500000,32.51,0,1,7,FS,1,10,201,10,18247
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$500000,34.41,0,2,7,FS,2,10,201,10,50006
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$500000,42.02,0,1,7,FS,1,10,201,7490,50001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$500000,42.02,0,1,7,FS,1,10,201,1410,54001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$500000,42.02,0,1,7,FS,2,10,201,4663,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$500000,42.02,0,2,7,FS,2,10,201,161,25290
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$578600,42.02,0,3,7,FS,1,10,201,4711,52001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,32.51,0,1,7,FS,1,10,201,3110,15001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,32.51,0,1,7,FS,2,10,201,10,5154
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,1,7,FS,2,10,201,1523,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,1,7,FS,2,10,201,4659,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,1,7,FS,2,10,201,4719,52001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,1,7,FS,2,10,201,10,66001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,1,7,FS,2,10,201,10,68081
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,1,7,FS,2,10,201,10,68575
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,1,7,FS,2,10,201,7490,73055
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,1,7,FS,2,10,201,10,85001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$600000,42.02,0,2,7,FS,2,10,201,1410,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$650000,42.02,0,1,7,FS,1,10,201,6810,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$700000,39.8,0,2,7,FS,1,10,201,4690,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$700000,42.02,0,1,7,FS,1,10,201,4773,13001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$775000,42.02,0,1,7,FS,1,10,201,4723,8758
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$775000,42.02,0,2,7,FS,1,10,201,10,76147
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$800000,35.6,0,1,7,FS,1,10,201,4711,73349
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$890000,42.02,0,1,7,FS,1,10,201,4530,54001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$900000,42.02,0,2,7,FS,2,10,201,10,54001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1000000,42.02,0,1,7,FS,1,10,201,1812,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1000000,42.02,0,1,7,FS,1,10,201,1089,15466
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1000000,42.02,0,1,7,FS,1,10,201,4773,50330
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1000000,42.02,0,1,7,FS,1,10,201,4921,85410
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1000000,42.02,0,1,7,FS,2,10,201,126,68615
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1000000,42.02,0,2,7,FS,2,10,201,10,81001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1100000,42.02,0,1,7,FS,1,10,201,4711,68575
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1120000,42.02,0,3,7,FS,1,10,201,10,76364
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1170000,42.02,0,3,7,FS,1,10,201,10,47001
